
************************************************************************************************************************************************
Start to print log. Process ID[8776]
Time                    | L | Thread       | Module  | Source File:Line:Function                                          | Content
2016/06/06 09:58:01.628 | E | Thread:2976  | AVGSDK  | avgsession.cpp:90:CAVGSession::Create                              | CreateSession(dwRoomID=0)
2016/06/06 09:58:01.628 | E | Thread:2976  | AVGSDK  | avgroomlogicproxy.cpp:72:CAVGRoomLogicProxy::CAVGRoomLogicProxy    | CAVGRoomLogicProxy::CAVGRoomLogicProxy
2016/06/06 09:58:01.649 | E | Thread:2976  | AVGSDK  | avgroomlogic.cpp:75:CAVGRoomLogic::CAVGRoomLogic                   | CAVGRoomLogic::CAVGRoomLogic
2016/06/06 09:58:01.649 | E | Thread:2976  | AVGSDK  | avgroomlogic.cpp:113:CAVGRoomLogic::Create                         | Create. room id = 0
2016/06/06 09:58:01.649 | E | Thread:2976  | AVGSDK  | avgroomlogic.cpp:134:CAVGRoomLogic::Create                         | udp server 123.151.178.16:8000
2016/06/06 09:58:01.649 | E | Thread:2976  | AVGSDK  | avgroomlogic.cpp:132:CAVGRoomLogic::Create                         | tcp server 123.151.178.16:443
2016/06/06 09:58:01.649 | E | Thread:2976  | AVGSDK  | avgroomlogic.cpp:134:CAVGRoomLogic::Create                         | udp server 123.151.14.39:8000
2016/06/06 09:58:01.649 | E | Thread:2976  | AVGSDK  | avgroomlogic.cpp:132:CAVGRoomLogic::Create                         | tcp server 123.151.14.39:443
2016/06/06 09:58:01.649 | E | Thread:2976  | AVGSDK  | avgroomlogic.cpp:134:CAVGRoomLogic::Create                         | udp server 123.151.178.66:8000
2016/06/06 09:58:01.649 | E | Thread:2976  | AVGSDK  | avgroomlogic.cpp:132:CAVGRoomLogic::Create                         | tcp server 123.151.178.66:443
2016/06/06 09:58:01.649 | E | Thread:2976  | AVGSDK  | avgroomlogic.cpp:134:CAVGRoomLogic::Create                         | udp server 123.151.72.164:8000
2016/06/06 09:58:01.649 | E | Thread:2976  | AVGSDK  | avgroomlogic.cpp:132:CAVGRoomLogic::Create                         | tcp server 123.151.72.164:443
2016/06/06 09:58:01.649 | E | Thread:2976  | AVGSDK  | avgroomlogicproxy.cpp:178:CAVGRoomLogicProxy::Create               | room logic proxy create roomlogic
2016/06/06 09:58:02.011 | E | Thread:2976  | LocalFl | localflowctrl.cpp:239:CSubVideoLocalFlowCtrl                       | Init VideoParams:
2016/06/06 09:58:02.017 | E | Thread:2976  | LocalFl | localflowctrl.cpp:241:CSubVideoLocalFlowCtrl                       | wDefaultRate[160] wHighRate[250] wLowRate[140] wAdjustPeriod[6]
2016/06/06 09:58:02.017 | E | Thread:2976  | LocalFl | localflowctrl.cpp:245:CSubVideoLocalFlowCtrl                       | wAscendLostRate[1] wDescendLostRate[3] wAscendDelay[100] wDescendDelay[300] wAscendRate[10] wDescendRate[10]
2016/06/06 09:58:02.017 | E | Thread:2976  | LocalFl | localflowctrl.cpp:247:CSubVideoLocalFlowCtrl                       | w1stDescendRate[200] w10AscendRate[180] w5DescendRate[140]
2016/06/06 09:58:02.017 | E | Thread:2976  | LocalFl | localflowctrl.cpp:249:CSubVideoLocalFlowCtrl                       | wGop[120] wFecI[15] wFecP[15] wFecSP[15] wQP[35]
2016/06/06 09:58:02.017 | E | Thread:2976  | CAVGVid | avgvideologic.cpp:102:CAVGVideoLogic::CAVGVideoLogic               | CAVGVideoLogic::CAVGVideoLogic
2016/06/06 09:58:02.017 | E | Thread:2976  | CAVGVid | avgvideologic.cpp:143:CAVGVideoLogic::Create                       | CAVGVideoLogic::Create. pMediaEngine = 03BD3718, pSessionProxy = 03BCD8A0, pSink = 005A30A8.
2016/06/06 09:58:02.017 | E | Thread:2976  | LocalFl | localflowctrl.cpp:1033:CVideoLocalFlowCtrl::CVideoLocalFlowCtrl    | CVideoLocalFlowCtrl::initParam:
2016/06/06 09:58:02.017 | E | Thread:2976  | LocalFl | localflowctrl.cpp:1035:CVideoLocalFlowCtrl::CVideoLocalFlowCtrl    | CVideoLocalFlowCtrl wDefaultRate[200] wHighRate[320] wLowRate[150] wAdjustPeriod[6]
2016/06/06 09:58:02.017 | E | Thread:2976  | LocalFl | localflowctrl.cpp:1039:CVideoLocalFlowCtrl::CVideoLocalFlowCtrl    | CVideoLocalFlowCtrl wAscendLostRate[150] wDescendLostRate[400] wAscendDelay[100] wDescendDelay[250] wAscendRate[10] wDescendRate[10]
2016/06/06 09:58:02.017 | E | Thread:2976  | LocalFl | localflowctrl.cpp:1041:CVideoLocalFlowCtrl::CVideoLocalFlowCtrl    | CVideoLocalFlowCtrl w1stDescendRate[300] w10AscendRate[180] w5DescendRate[140 wUdtUpLoss[20] wUdtDownLoss[100]]
2016/06/06 09:58:02.018 | E | Thread:2976  | LocalFl | localflowctrl.cpp:1043:CVideoLocalFlowCtrl::CVideoLocalFlowCtrl    | CVideoLocalFlowCtrl wGop[30] wFecI[15] wFecP[15] wFecSP[15] wQP[40]
2016/06/06 09:58:02.018 | E | Thread:2976  | AVGSDK  | avgaudiologic.cpp:285:CAVGAudioLogic::CAVGAudioLogic               | CAVGAudioLogic::CAVGAudioLogic
2016/06/06 09:58:02.018 | E | Thread:2976  | AVGSDK  | avgaudiologic.cpp:307:CAVGAudioLogic::Create                       | CAVGAudioLogic::Create. pMediaEngine = 03BD3718, pSessionProxy = 03BCD8A0, pSink = 005A3260
2016/06/06 09:58:02.018 | E | Thread:2976  | Client  | av_context_impl.cpp:1001:tencent::av::AVContextImpl::InitDevice    | InitDevice
2016/06/06 09:58:02.018 | E | Thread:2976  | Client  | av_device_mgr_impl.cpp:213:AVAudioDeviceMgrImpl                    | AVAudioDeviceMgrImpl::AVAudioDeviceMgrImpl
2016/06/06 09:58:02.019 | E | Thread:2976  | Client  | av_device_mgr_impl.cpp:232:AVAudioDeviceMgrImpl                    | THREAD. AVAudioDeviceMgrImpl task start. thread id = 0.
2016/06/06 09:58:02.049 | E | Thread:2976  | Client  | av_device_mgr_impl.cpp:1464:AVVideoDeviceMgrImpl                   | AVVideoDeviceMgrImpl::AVVideoDeviceMgrImpl
2016/06/06 09:58:02.052 | E | Thread:2976  | Client  | av_device_mgr_impl.cpp:272:tencent::av::AVAudioDeviceMgrImpl::Init | Init. init_callback == 03BC9080, is_inited_ = 0
2016/06/06 09:58:02.105 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] OS Version: [Microsoft Windows 7 Service Pack 1][10060101]
2016/06/06 09:58:02.105 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TRAE Version: [1.6.9000.1]
2016/06/06 09:58:02.105 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TRAE: InitEngine() [0x00667bd8]
2016/06/06 09:58:02.107 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [Info] linkparsers start
2016/06/06 09:58:02.107 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TopoNode: LINK [NetSrc[0](0) ==> dmx[1](0), type=[CAT_MUX : TYPE_QT : [] ]]
2016/06/06 09:58:02.110 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TopoNode: LINK [tee[3](0) ==> WinWasapiRender[4](0), type=[CAT_AUDIO : TYPE_PCM : [sr=48000, ch=2, b=16] ]]
2016/06/06 09:58:02.110 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TopoNode: LINK [mix[2](0) ==> tee[3](0), type=[CAT_AUDIO : TYPE_PCM : [sr=48000, ch=2, b=16] ]]
2016/06/06 09:58:02.111 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TopoNode: LINK [AutoDec[18](0) ==> mix[2](0), type=[CAT_AUDIO : TYPE_PCM : [sr=48000, ch=2, b=16] ]]
